epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7033.32,0.72737,0.56254,1.07867,0.91013,0.76752,0.8284,0.54662,1.16,0.65044,1.36841,0.000424187,0.000424187,0.000424187
43,7200.08,0.72129,0.56619,1.08471,0.87624,0.7728,0.83278,0.54678,1.1345,0.67662,1.36147,0.000417119,0.000417119,0.000417119
44,7366.58,0.71118,0.54715,1.07156,0.91603,0.75957,0.84279,0.55208,1.16597,0.62346,1.37198,0.00041005,0.00041005,0.00041005
45,7533.31,0.70305,0.54457,1.06974,0.90096,0.7861,0.84808,0.55024,1.20614,0.6378,1.40518,0.000402982,0.000402982,0.000402982
46,7699.98,0.69701,0.53202,1.06341,0.89438,0.78857,0.84303,0.54662,1.21997,0.62405,1.40112,0.000395913,0.000395913,0.000395913
47,7866.85,0.68719,0.52321,1.05784,0.91179,0.76222,0.8508,0.56061,1.16045,0.58272,1.39818,0.000388844,0.000388844,0.000388844
48,8033.79,0.68378,0.5207,1.05177,0.8954,0.79044,0.84698,0.56118,1.14735,0.60164,1.37064,0.000381776,0.000381776,0.000381776
49,8200.81,0.67538,0.50844,1.04914,0.91101,0.76784,0.84821,0.5868,1.01851,0.56919,1.25584,0.000374707,0.000374707,0.000374707
50,8368.02,0.66622,0.50892,1.0482,0.91853,0.76724,0.84513,0.57607,1.07472,0.5929,1.31037,0.000367639,0.000367639,0.000367639
51,8534.87,0.66665,0.50162,1.04644,0.89838,0.79343,0.84467,0.58717,1.06512,0.57426,1.31603,0.00036057,0.00036057,0.00036057
52,8701.79,0.66191,0.49471,1.043,0.8703,0.80011,0.84977,0.58807,1.08508,0.57573,1.31022,0.000353501,0.000353501,0.000353501
53,8869.02,0.66489,0.49897,1.04439,0.88696,0.81356,0.86427,0.58289,1.11813,0.56642,1.33511,0.000346433,0.000346433,0.000346433
